id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_dr3,sep_dr3,z_num,name,id,z_spec_or_phot,x_mpc,y_mpc,z_mpc,note,survey,X,Y,Z_coord
,3.5422900470924747,-30.339057176355976,,,,,,,,,,,,,,,,,,,5.073563420844467,UNCOVER-60413,60413,5.073563420844467,6878.703097382479,425.8159033278249,-4033.588568916296,filament candidate,UNCOVER,6878.7030973824785,425.8159033278249,-4033.5885689162956
,3.523275899818425,-30.338997672501392,,,,,,,,,,,,,,,,,,,6.9087155929993145,UNCOVER-60424,60424,6.9087155929993145,7562.703720197887,465.63862572330027,-4434.576866856837,filament candidate,UNCOVER,7562.703720197887,465.63862572330027,-4434.576866856837
,3.516926770581394,-30.338968238583963,,,,,,,,,,,,,,,,,,,6.737016031024671,UNCOVER-60451,60451,6.737016031024671,7509.228100976287,461.51084045966513,-4403.184921687399,filament candidate,UNCOVER,7509.228100976287,461.51084045966513,-4403.184921687399
,3.459940602034336,-30.33890498256489,,,,,,,,,,,,,,,,,,,6.276293087432063,UNCOVER-60453,60453,6.276293087432063,7356.834806368701,444.8006045818804,-4313.553623009025,filament candidate,UNCOVER,7356.834806368701,444.80060458188035,-4313.553623009025
,3.584853139675655,-30.339056190461022,,,,,,,,,,,,,,,,,,,7.651304052421534,UNCOVER-60457,60457,7.651304052421534,7775.097211277231,487.1041074207389,-4559.434018994934,filament candidate,UNCOVER,7775.097211277231,487.1041074207389,-4559.434018994934
,3.584742244656094,-30.338973910986564,,,,,,,,,,,,,,,,,,,7.575114690629275,UNCOVER-60458,60458,7.575114690629275,7754.53789662085,485.8010138321377,-4547.362196424958,filament candidate,UNCOVER,7754.53789662085,485.8010138321377,-4547.362196424958
,3.584899304974706,-30.33916987201741,,,,,,,,,,,,,,,,,,,7.4887759602980895,UNCOVER-60459,60459,7.4887759602980895,7730.881616890097,484.34028653634016,-4533.5261914153525,filament candidate,UNCOVER,7730.881616890097,484.34028653634016,-4533.5261914153525
,3.47652320772952,-30.338986837535124,,,,,,,,,,,,,,,,,,,7.367975931741354,UNCOVER-60461,60461,7.367975931741354,7698.109234285684,467.6705307520247,-4513.747982683392,filament candidate,UNCOVER,7698.109234285684,467.6705307520248,-4513.7479826833915
,3.470149327251689,-30.338811232473205,,,,,,,,,,,,,,,,,,,5.045250960597166,UNCOVER-60485,60485,5.045250960597166,6866.334489465165,416.3724311293042,-4025.985517583501,filament candidate,UNCOVER,6866.334489465165,416.3724311293043,-4025.985517583501
,3.539874312743445,-30.338820991625948,,,,,,,,,,,,,,,,,,,8.613812769766902,UNCOVER-60495,60495,8.613812769766902,8013.943612077452,495.7521000851602,-4699.223224156111,filament candidate,UNCOVER,8013.943612077452,495.7521000851602,-4699.2232241561105
,3.51670058940716,-30.338806800284917,,,,,,,,,,,,,,,,,,,6.651338340069044,UNCOVER-60496,60496,6.651338340069044,7481.862526307459,459.7993282654333,-4387.109154033467,filament candidate,UNCOVER,7481.862526307459,459.79932826543325,-4387.109154033467
,3.463000620953184,-30.33874653874256,,,,,,,,,,,,,,,,,,,6.569160742241992,UNCOVER-60507,60507,6.569160742241992,7455.598262493287,451.1715697017832,-4371.448269491966,filament candidate,UNCOVER,7455.598262493287,451.1715697017832,-4371.448269491966
,3.548106183271477,-30.33880602160777,,,,,,,,,,,,,,,,,,,5.186760660064273,UNCOVER-60514,60514,5.186760660064273,6929.434625606163,429.6624751540032,-4063.3216222082665,filament candidate,UNCOVER,6929.434625606163,429.66247515400323,-4063.3216222082665
,3.4623377004827143,-30.338720393440923,,,,,,,,,,,,,,,,,,,6.481423955013498,UNCOVER-60519,60519,6.481423955013498,7426.620984073226,449.3317834005324,-4354.4503867238045,filament candidate,UNCOVER,7426.620984073226,449.3317834005324,-4354.4503867238045
,3.481343849901461,-30.338783091899007,,,,,,,,,,,,,,,,,,,6.900029174414369,UNCOVER-60534,60534,6.900029174414369,7560.392664140835,459.9425158860681,-4432.985071954508,filament candidate,UNCOVER,7560.392664140835,459.94251588606807,-4432.9850719545075
